Released_Year,Runtime,Genre,Meta_score,No_of_Votes,Gross,IMDB_Rating
1994,142,137,80.0,2343110,28341469.0,9.3
1972,175,122,100.0,1620367,134966411.0,9.2
2008,152,22,84.0,2303232,534858444.0,9.0
1974,202,122,90.0,1129952,57300000.0,9.0
1957,96,122,96.0,689845,4360000.0,9.0
2003,201,4,94.0,1642758,377845905.0,8.9
1994,154,122,94.0,1826188,107928762.0,8.9
1993,195,87,94.0,1213505,96898818.0,8.9
2010,148,11,74.0,2067042,292576195.0,8.8
1999,139,137,66.0,1854740,37030102.0,8.8
2001,178,4,92.0,1661481,315544750.0,8.8
1994,142,172,82.0,1809221,330252182.0,8.8
1966,161,201,90.0,688390,6100000.0,8.8
2002,179,4,87.0,1485555,342551365.0,8.7
1999,136,34,73.0,1676426,171479930.0,8.7
1990,146,84,90.0,1020727,46836394.0,8.7
1980,124,6,82.0,1159315,290475067.0,8.7
1975,133,137,83.0,918088,112000000.0,8.7
2019,132,106,96.0,552778,53367844.0,8.6
2014,169,51,74.0,1512360,188020017.0,8.6
2002,130,122,79.0,699256,7563397.0,8.6
2001,125,69,96.0,651376,10055859.0,8.6
1998,169,182,91.0,1235804,216540909.0,8.6
1999,189,123,61.0,1147794,136801374.0,8.6
1997,116,105,59.0,623629,57598247.0,8.6
1995,127,129,65.0,1445096,100125643.0,8.6
1991,118,132,85.0,1270197,130742922.0,8.6
1977,121,6,90.0,1231473,322740140.0,8.6
1954,207,4,98.0,315744,269061.0,8.6
2019,122,132,59.0,939252,335451311.0,8.5
2014,106,162,88.0,717585,13092000.0,8.5
2011,112,83,57.0,760360,13182281.0,8.5
2006,130,169,66.0,1190259,53089891.0,8.5
2006,151,132,85.0,1189773,132384315.0,8.5
2002,150,88,85.0,729603,32572577.0,8.5
2000,155,4,67.0,1341460,187705427.0,8.5
1998,119,137,62.0,1034705,6719864.0,8.5
1995,106,135,77.0,991208,23341568.0,8.5
1994,110,22,64.0,1035236,19501238.0,8.5
1994,88,68,88.0,942045,422783777.0,8.5
1991,137,34,75.0,995506,204843350.0,8.5
1988,155,172,80.0,230763,11990401.0,8.5
1985,116,44,87.0,1058081,210609762.0,8.5
1968,165,201,80.0,302844,5321508.0,8.5
1960,109,194,97.0,604211,32000000.0,8.5
1942,102,175,100.0,522093,1024560.0,8.5
1936,87,101,96.0,217881,163245.0,8.5
1931,87,105,99.0,167839,19181.0,8.5
2018,126,137,75.0,62635,1661096.0,8.4
2016,106,78,79.0,194838,5017246.0,8.4
2018,117,62,87.0,375110,190241310.0,8.4
2019,181,4,78.0,809955,858373000.0,8.4
2018,149,11,68.0,834477,678815482.0,8.4
2017,105,69,81.0,384171,209726015.0,8.4
2012,165,184,81.0,1357682,162805434.0,8.4
2012,164,0,78.0,1516346,448139099.0,8.4
2009,170,100,67.0,344445,6532908.0,8.4
2008,98,69,95.0,999790,223808164.0,8.4
2006,137,170,89.0,358685,11286112.0,8.4
2003,101,27,77.0,515451,707481.0,8.4
2000,113,199,80.0,1125712,25544867.0,8.4
1997,134,62,76.0,343171,2375308.0,8.4
1981,115,0,85.0,884112,248159971.0,8.4
1980,146,158,66.0,898237,44017374.0,8.4
1979,147,171,94.0,606398,83471511.0,8.4
1979,117,195,89.0,787806,78900000.0,8.4
1964,95,93,97.0,450474,275902.0,8.4
1954,112,199,100.0,444074,36764313.0,8.4
2019,119,180,78.0,425844,159227644.0,8.3
2012,115,137,77.0,281623,687185.0,8.3
2011,123,137,95.0,220002,7098492.0,8.3
2010,131,171,80.0,150023,6857096.0,8.3
2009,153,53,69.0,1267869,120540719.0,8.3
2004,108,173,89.0,911664,34400301.0,8.3
2001,122,119,69.0,703810,33225499.0,8.3
2000,104,94,55.0,782001,30328156.0,8.3
2000,102,137,68.0,766870,3635482.0,8.3
1999,122,137,84.0,1069738,130096601.0,8.3
1997,126,172,70.0,861606,138433435.0,8.3
1997,89,141,77.0,65341,933933.0,8.3
1995,81,67,95.0,887429,191796233.0,8.3
1995,178,87,68.0,959181,75600000.0,8.3
1992,99,132,79.0,918562,2832029.0,8.3
